iter	Passed	Remaining
283	1045	2634
284	1047	2628
285	1051	2624
286	1055	2622
287	1058	2617
288	1061	2611
289	1064	2607
290	1070	2608
291	1073	2603
292	1076	2598
293	1080	2594
294	1083	2590
295	1087	2585
296	1090	2580
297	1093	2575
298	1096	2570
299	1099	2565
300	1102	2560
301	1105	2555
302	1108	2550
303	1111	2545
304	1115	2540
305	1122	2544
306	1124	2538
307	1127	2533
308	1131	2529
309	1137	2531
310	1140	2526
311	1143	2521
312	1146	2516
313	1149	2511
314	1152	2506
315	1155	2501
316	1161	2502
317	1164	2498
318	1168	2494
319	1171	2489
320	1177	2489
321	1180	2485
322	1183	2480
323	1186	2475
324	1192	2477
325	1195	2472
326	1198	2467
327	1202	2463
328	1210	2468
329	1213	2463
330	1216	2459
331	1221	2458
332	1224	2453
333	1227	2448
334	1231	2443
335	1236	2442
336	1239	2438
337	1242	2432
338	1245	2428
339	1249	2424
340	1252	2420
341	1255	2415
342	1259	2411
343	1263	2409
344	1267	2405
345	1270	2400
346	1273	2396
347	1277	2393
348	1280	2389
349	1284	2384
350	1287	2380
351	1293	2380
352	1296	2376
353	1299	2371
354	1302	2366
355	1307	2365
356	1310	2360
357	1313	2356
358	1317	2351
359	1322	2351
360	1326	2347
361	1331	2346
362	1336	2345
363	1339	2340
364	1342	2335
365	1345	2331
366	1351	2330
367	1354	2326
368	1357	2321
369	1361	2317
370	1366	2317
371	1369	2312
372	1372	2307
373	1376	2303
374	1381	2302
375	1384	2297
376	1387	2292
377	1390	2288
378	1396	2288
379	1399	2283
380	1402	2278
381	1405	2274
382	1411	2274
383	1415	2270
384	1418	2265
385	1421	2261
386	1426	2259
387	1430	2255
388	1433	2251
389	1436	2246
390	1441	2245
391	1445	2241
392	1448	2236
393	1451	2232
394	1455	2229
395	1458	2225
396	1461	2220
397	1465	2216
398	1467	2211
399	1471	2206
400	1474	2202
401	1477	2198
402	1483	2197
403	1486	2193
404	1489	2188
405	1493	2184
406	1496	2181
407	1499	2176
408	1503	2172
409	1506	2167
410	1509	2163
411	1512	2158
412	1516	2154
413	1519	2151
414	1523	2147
415	1526	2142
416	1529	2138
417	1535	2137
418	1538	2133
419	1541	2129
420	1545	2125
421	1550	2123
422	1553	2118
423	1556	2114
424	1559	2110
425	1565	2108
426	1568	2104
427	1571	2100
428	1574	2095
429	1578	2092
430	1582	2088
431	1585	2084
432	1588	2079
433	1593	2077
434	1596	2073
435	1599	2069
436	1602	2065
437	1608	2063
438	1611	2059
439	1614	2054
440	1617	2050
441	1621	2047
442	1624	2042
443	1627	2038
444	1630	2033
445	1633	2029
446	1637	2025
447	1640	2021
448	1644	2017
449	1650	2016
450	1653	2012
451	1655	2006
452	1658	2002
453	1664	2002
454	1667	1997
455	1670	1993
456	1674	1989
457	1679	1987
458	1682	1983
459	1685	1978
460	1688	1974
461	1694	1973
462	1697	1969
463	1700	1964
464	1742	2005
465	1745	2000
466	1749	1996
467	1752	1992
468	1755	1987
469	1759	1983
470	1762	1979
471	1765	1974
472	1768	1970
473	1772	1966
474	1775	1962
475	1779	1958
476	1782	1954
477	1785	1949
478	1788	1945
479	1794	1943
480	1797	1939
481	1800	1934
482	1804	1931
483	1807	1927
484	1810	1922
485	1814	1918
486	1818	1915
487	1821	1911
488	1824	1906
489	1828	1902
490	1833	1900
491	1835	1895
492	1838	1891
493	1842	1887
494	1847	1884
495	1850	1879
496	1852	1875
497	1856	1871
498	1860	1867
499	1863	1863
500	1866	1858
501	1869	1854
502	1873	1851
503	1876	1847
504	1879	1842
505	1883	1838
506	1886	1834
507	1889	1829
508	1892	1825
509	1895	1821
510	1900	1818
511	1903	1814
512	1906	1809
513	1909	1805
514	1913	1801
515	1916	1798
516	1920	1793
517	1922	1788
518	1926	1785
519	1929	1781
520	1932	1776
521	1935	1772
522	1939	1768
523	1943	1765
524	1946	1761
525	1949	1757
526	1952	1752
527	1957	1749
528	1960	1745
529	1964	1741
530	1967	1737
531	1972	1734
532	1975	1730
533	1978	1726
534	1981	1722
535	1986	1719
536	1989	1715
537	1992	1710
538	1995	1707
539	2000	1704
540	2003	1700
541	2007	1696
542	2010	1692
543	2014	1689
544	2018	1684
545	2021	1681
546	2024	1676
547	2029	1674
548	2032	1670
549	2036	1665
550	2039	1661
551	2044	1659
552	2047	1655
553	2050	1651
554	2054	1647
555	2058	1644
556	2062	1640
557	2065	1636
558	2068	1632
559	2073	1629
560	2076	1624
561	2079	1620
562	2082	1616
563	2087	1613
564	2091	1609
565	2093	1605
566	2097	1601
567	2101	1598
568	2104	1594
569	2108	1590
570	2111	1586
571	2116	1583
572	2119	1579
573	2123	1575
574	2126	1571
575	2130	1568
576	2133	1564
577	2136	1560
578	2140	1556
579	2143	1552
580	2147	1548
581	2150	1544
582	2154	1540
583	2157	1536
584	2161	1533
585	2164	1529
586	2168	1525
587	2171	1521
588	2176	1518
589	2179	1514
590	2182	1510
591	2185	1506
592	2190	1503
593	2193	1499
594	2196	1495
595	2199	1491
596	2204	1488
597	2207	1484
598	2210	1480
599	2213	1475
600	2218	1472
601	2221	1468
602	2224	1464
603	2227	1460
604	2231	1456
605	2234	1452
606	2238	1449
607	2241	1445
608	2244	1441
609	2248	1437
610	2252	1433
611	2255	1429
612	2258	1425
613	2263	1422
614	2266	1418
615	2269	1414
616	2272	1410
617	2277	1407
618	2281	1404
619	2284	1400
620	2287	1396
621	2292	1392
622	2295	1388
623	2297	1384
624	2300	1380
625	2303	1376
626	2308	1373
627	2311	1369
628	2314	1365
629	2317	1361
630	2322	1358
631	2325	1354
632	2329	1350
633	2332	1346
634	2337	1343
635	2340	1339
636	2343	1335
637	2346	1331
638	2350	1328
639	2354	1324
640	2357	1320
641	2360	1316
642	2365	1313
643	2369	1309
644	2372	1305
645	2375	1301
646	2379	1298
647	2382	1294
648	2385	1290
649	2388	1286
650	2392	1282
651	2396	1279
652	2399	1275
653	2402	1271
654	2407	1268
655	2412	1264
656	2415	1260
657	2418	1256
658	2421	1252
659	2424	1249
660	2427	1245
661	2431	1241
662	2434	1237
663	2439	1234
664	2442	1230
665	2445	1226
666	2449	1222
667	2454	1219
668	2457	1215
669	2460	1212
670	2464	1208
671	2469	1205
672	2472	1201
673	2475	1197
674	2479	1193
675	2482	1190
676	2486	1186
677	2489	1182
678	2492	1178
679	2497	1175
680	2500	1171
681	2503	1167
682	2507	1163
683	2511	1160
684	2514	1156
685	2517	1152
686	2521	1148
687	2525	1145
688	2528	1141
689	2531	1137
690	2534	1133
691	2537	1129
692	2541	1126
693	2545	1122
694	2548	1118
695	2551	1114
696	2556	1111
697	2559	1107
698	2563	1103
699	2566	1099
700	2571	1096
701	2574	1092
702	2577	1089
703	2580	1085
704	2585	1081
705	2588	1077
706	2591	1074
707	2594	1070
708	2599	1066
709	2602	1063
710	2605	1059
711	2608	1055
712	2612	1051
713	2616	1047
714	2619	1044
715	2622	1040
716	2625	1036
717	2628	1032
718	2632	1028
719	2635	1024
720	2641	1022
721	2645	1018
722	2647	1014
723	2650	1010
724	2654	1006
725	2657	1003
726	2661	999
727	2665	995
728	2669	992
729	2673	988
730	2676	984
731	2679	980
732	2683	977
733	2687	973
734	2690	970
735	2693	966
736	2697	962
737	2700	958
738	2704	955
739	2706	951
740	2710	947
741	2714	943
742	2717	940
743	2720	936
744	2723	932
745	2728	928
746	2731	925
747	2734	921
748	2738	917
749	2742	914
750	2746	910
751	2749	906
752	2752	902
753	2757	899
754	2760	895
755	2763	891
756	2767	888
757	2772	885
758	2775	881
759	2778	877
760	2782	873
761	2786	870
762	2789	866
763	2792	862
764	2795	858
765	2800	855
766	2803	851
767	2806	847
768	2809	843
769	2813	840
770	2817	836
771	2820	833
772	2823	829
773	2827	825
774	2831	822
775	2834	818
776	2837	814
777	2841	810
778	2845	807
779	2849	803
780	2851	799
781	2856	796
782	2860	792
783	2863	789
784	2866	785
785	2870	781
786	2875	778
787	2878	774
788	2881	770
789	2884	766
790	2889	763
791	2892	759
792	2895	755
793	2898	752
794	2902	748
795	2906	744
796	2909	741
797	2912	737
798	2915	733
799	2919	729
800	2923	726
801	2926	722
802	2929	718
803	2933	715
804	2937	711
805	2940	707
806	2944	704
807	2948	700
808	2951	696
809	2954	693
810	2958	689
811	2962	685
812	2966	682
813	2969	678
814	2972	674
815	2976	671
816	2980	667
817	2982	663
818	2986	659
819	2989	656
820	2993	652
821	2996	648
822	2999	645
823	3002	641
824	3007	637
825	3010	634
826	3013	630
827	3017	626
828	3021	623
829	3024	619
830	3027	615
831	3030	611
832	3034	608
833	3037	604
834	3040	600
835	3043	597
836	3047	593
837	3050	589
838	3053	585
839	3056	582
840	3061	578
841	3064	575
842	3067	571
843	3071	567
844	3075	564
845	3078	560
846	3081	556
847	3084	552
848	3088	549
849	3092	545
850	3095	541
851	3098	538
852	3102	534
853	3106	531
854	3109	527
855	3112	523
856	3116	520
857	3120	516
858	3123	512
859	3126	508
860	3129	505
861	3133	501
862	3136	497
863	3140	494
864	3143	490
865	3147	487
866	3150	483
867	3153	479
868	3157	475
869	3161	472
870	3164	468
871	3170	465
872	3173	461
873	3177	458
874	3180	454
875	3190	451
876	3193	447
877	3199	444
878	3202	440
879	3206	437
880	3209	433
881	3213	429
882	3216	426
883	3219	422
884	3224	418
885	3228	415
886	3231	411
887	3234	407
888	3239	404
889	3242	400
890	3245	397
891	3249	393
892	3256	390
893	3259	386
894	3262	382
895	3265	379
896	3269	375
897	3272	371
898	3275	367
899	3279	364
900	3282	360
901	3286	357
902	3289	353
903	3292	349
904	3296	346
905	3299	342
906	3302	338
907	3306	335
908	3310	331
909	3313	327
910	3316	324
911	3320	320
912	3324	316
913	3327	313
914	3330	309
915	3335	305
916	3339	302
917	3342	298
918	3345	294
919	3351	291
920	3354	287
921	3357	284
922	3360	280
923	3366	276
924	3370	273
925	3373	269
926	3376	265
927	3382	262
928	3385	258
929	3388	255
930	3392	251
931	3395	247
932	3398	244
933	3401	240
934	3406	236
935	3409	233
936	3412	229
937	3415	225
938	3421	222
939	3424	218
940	3427	214
941	3430	211
942	3435	207
943	3438	203
944	3441	200
945	3444	196
946	3449	193
947	3452	189
948	3455	185
949	3459	182
950	3464	178
951	3467	174
952	3470	171
953	3473	167
954	3479	163
955	3482	160
956	3485	156
957	3488	152
958	3493	149
959	3496	145
960	3499	142
961	3503	138
962	3507	134
963	3511	131
964	3514	127
965	3517	123
966	3521	120
967	3524	116
968	3527	112
969	3530	109
970	3534	105
971	3538	101
972	3542	98
973	3545	94
974	3550	91
975	3553	87
976	3556	83
977	3560	80
978	3565	76
979	3569	72
980	3572	69
981	3575	65
982	3581	61
983	3584	58
984	3587	54
985	3590	50
986	3596	47
987	3599	43
988	3602	40
989	3606	36
990	3611	32
991	3614	29
992	3617	25
993	3620	21
994	3626	18
995	3630	14
996	3633	10
997	3636	7
998	3639	3
999	3642	0
